timestep_superordinate_dispatch,region_dispatch,technology,carrier,variable,value
20th < 2025,East,coalPlant,none,capaConv,10.0
20th < 2030,East,coalPlant,none,capaConv,10.0
10th < 2020,East,coalPlant,none,commCapaConv,10.017795561253525
20th < 2025,East,coalPlant,none,commCapaConv,0.15629258639072224
20th < 2030,East,coalPlant,none,commCapaConv,0.0
10th < 2020,East,heatpump < air,none,expConv,7.000000000000006
10th < 2020,West,heatpump < air,none,expConv,7.0
20th < 2025,East,heatpump < air,none,expConv,0.0
20th < 2025,West,heatpump < air,none,expConv,0.0
20th < 2030,East,heatpump < air,none,expConv,0.0
20th < 2030,West,heatpump < air,none,expConv,0.0
30th < 2035,East,heatpump < air,none,expConv,0.0
30th < 2035,West,heatpump < air,none,expConv,0.0
30th < 2040,East,heatpump < air,none,expConv,0.0
30th < 2040,West,heatpump < air,none,expConv,0.0
10th < 2020,East,heatpump < air,none,capaConv,7.000000000000007
20th < 2025,East,heatpump < air,none,capaConv,7.000000000000007
20th < 2030,East,heatpump < air,none,capaConv,7.000000000000007
30th < 2035,East,heatpump < air,none,capaConv,7.000000000000007
30th < 2040,East,heatpump < air,none,capaConv,7.0
10th < 2020,West,heatpump < air,none,capaConv,7.0
20th < 2025,West,heatpump < air,none,capaConv,7.0
20th < 2030,West,heatpump < air,none,capaConv,7.0
30th < 2035,West,heatpump < air,none,capaConv,7.0
30th < 2040,West,heatpump < air,none,capaConv,7.0
10th < 2020,East,heatpump < air,none,commCapaConv,7.000000000000006
20th < 2025,East,heatpump < air,none,commCapaConv,7.000000000000006
20th < 2030,East,heatpump < air,none,commCapaConv,7.000000000000007
30th < 2035,East,heatpump < air,none,commCapaConv,7.000000000000007
30th < 2040,East,heatpump < air,none,commCapaConv,6.999999999999998
10th < 2020,West,heatpump < air,none,commCapaConv,7.0
20th < 2025,West,heatpump < air,none,commCapaConv,7.0
20th < 2030,West,heatpump < air,none,commCapaConv,7.0
30th < 2035,West,heatpump < air,none,commCapaConv,7.0
30th < 2040,West,heatpump < air,none,commCapaConv,7.0
10th < 2020,East,methanation,none,expConv,0.0
10th < 2020,West,methanation,none,expConv,0.0
20th < 2025,East,methanation,none,expConv,0.0
20th < 2025,West,methanation,none,expConv,0.0
20th < 2030,East,methanation,none,expConv,0.0
20th < 2030,West,methanation,none,expConv,0.0
30th < 2035,East,methanation,none,expConv,0.0
30th < 2035,West,methanation,none,expConv,0.0
30th < 2040,East,methanation,none,expConv,31.81696652765502
30th < 2040,West,methanation,none,expConv,6.086524432463161
10th < 2020,East,methanation,none,capaConv,0.0
20th < 2025,East,methanation,none,capaConv,0.0
20th < 2030,East,methanation,none,capaConv,0.0
30th < 2035,East,methanation,none,capaConv,0.0
30th < 2040,East,methanation,none,capaConv,31.81696652765502
10th < 2020,West,methanation,none,capaConv,0.0
20th < 2025,West,methanation,none,capaConv,0.0
20th < 2030,West,methanation,none,capaConv,0.0
30th < 2035,West,methanation,none,capaConv,0.0
30th < 2040,West,methanation,none,capaConv,6.086524432463161
10th < 2020,East,methanation,none,commCapaConv,0.0
20th < 2025,East,methanation,none,commCapaConv,0.0
20th < 2030,East,methanation,none,commCapaConv,0.0
30th < 2035,East,methanation,none,commCapaConv,0.0
30th < 2040,East,methanation,none,commCapaConv,31.816966527655016
10th < 2020,West,methanation,none,commCapaConv,0.0
20th < 2025,West,methanation,none,commCapaConv,0.0
20th < 2030,West,methanation,none,commCapaConv,0.0
30th < 2035,West,methanation,none,commCapaConv,0.0
30th < 2040,West,methanation,none,commCapaConv,6.08652443246316
10th < 2020,East < EastNorth,solar < openspace,none,expConv,1.6394349792353602
10th < 2020,East < EastSouth,solar < openspace,none,expConv,2.9424131737254404
10th < 2020,West < WestNorth,solar < openspace,none,expConv,67.0
10th < 2020,West < WestSouth,solar < openspace,none,expConv,50.0
20th < 2025,East < EastNorth,solar < openspace,none,expConv,38.36056502076464
20th < 2025,East < EastSouth,solar < openspace,none,expConv,60.05758682627456
20th < 2025,West < WestNorth,solar < openspace,none,expConv,0.0
20th < 2025,West < WestSouth,solar < openspace,none,expConv,0.0
20th < 2030,East < EastNorth,solar < openspace,none,expConv,0.0
20th < 2030,East < EastSouth,solar < openspace,none,expConv,0.0
20th < 2030,West < WestNorth,solar < openspace,none,expConv,0.0
20th < 2030,West < WestSouth,solar < openspace,none,expConv,0.0
30th < 2035,East < EastNorth,solar < openspace,none,expConv,0.0
30th < 2035,East < EastSouth,solar < openspace,none,expConv,0.0
30th < 2035,West < WestNorth,solar < openspace,none,expConv,0.0
30th < 2035,West < WestSouth,solar < openspace,none,expConv,0.0
30th < 2040,East < EastNorth,solar < openspace,none,expConv,0.0
30th < 2040,East < EastSouth,solar < openspace,none,expConv,0.0
30th < 2040,West < WestNorth,solar < openspace,none,expConv,0.0
30th < 2040,West < WestSouth,solar < openspace,none,expConv,0.0
10th < 2020,East < EastNorth,solar < openspace,none,capaConv,1.6394349792353602
20th < 2025,East < EastNorth,solar < openspace,none,capaConv,40.0
20th < 2030,East < EastNorth,solar < openspace,none,capaConv,40.0
30th < 2035,East < EastNorth,solar < openspace,none,capaConv,40.0
30th < 2040,East < EastNorth,solar < openspace,none,capaConv,40.0
10th < 2020,East < EastSouth,solar < openspace,none,capaConv,2.9424131737254404
20th < 2025,East < EastSouth,solar < openspace,none,capaConv,63.0
20th < 2030,East < EastSouth,solar < openspace,none,capaConv,63.0
30th < 2035,East < EastSouth,solar < openspace,none,capaConv,63.0
30th < 2040,East < EastSouth,solar < openspace,none,capaConv,63.0
10th < 2020,West < WestNorth,solar < openspace,none,capaConv,67.0
20th < 2025,West < WestNorth,solar < openspace,none,capaConv,67.0
20th < 2030,West < WestNorth,solar < openspace,none,capaConv,67.0
30th < 2035,West < WestNorth,solar < openspace,none,capaConv,67.0
30th < 2040,West < WestNorth,solar < openspace,none,capaConv,67.0
10th < 2020,West < WestSouth,solar < openspace,none,capaConv,50.0
20th < 2025,West < WestSouth,solar < openspace,none,capaConv,50.0
20th < 2030,West < WestSouth,solar < openspace,none,capaConv,50.0
30th < 2035,West < WestSouth,solar < openspace,none,capaConv,50.0
30th < 2040,West < WestSouth,solar < openspace,none,capaConv,50.0
10th < 2020,East < EastNorth,solar < openspace,none,commCapaConv,1.6394349792353602
20th < 2025,East < EastNorth,solar < openspace,none,commCapaConv,40.0
20th < 2030,East < EastNorth,solar < openspace,none,commCapaConv,40.0
30th < 2035,East < EastNorth,solar < openspace,none,commCapaConv,40.0
30th < 2040,East < EastNorth,solar < openspace,none,commCapaConv,40.0
10th < 2020,East < EastSouth,solar < openspace,none,commCapaConv,2.9424131737254404
20th < 2025,East < EastSouth,solar < openspace,none,commCapaConv,63.0
20th < 2030,East < EastSouth,solar < openspace,none,commCapaConv,63.0
30th < 2035,East < EastSouth,solar < openspace,none,commCapaConv,63.0
30th < 2040,East < EastSouth,solar < openspace,none,commCapaConv,63.0
10th < 2020,West < WestNorth,solar < openspace,none,commCapaConv,67.0
20th < 2025,West < WestNorth,solar < openspace,none,commCapaConv,67.0
20th < 2030,West < WestNorth,solar < openspace,none,commCapaConv,67.0
30th < 2035,West < WestNorth,solar < openspace,none,commCapaConv,67.0
30th < 2040,West < WestNorth,solar < openspace,none,commCapaConv,67.0
10th < 2020,West < WestSouth,solar < openspace,none,commCapaConv,50.0
20th < 2025,West < WestSouth,solar < openspace,none,commCapaConv,50.0
20th < 2030,West < WestSouth,solar < openspace,none,commCapaConv,50.0
30th < 2035,West < WestSouth,solar < openspace,none,commCapaConv,50.0
30th < 2040,West < WestSouth,solar < openspace,none,commCapaConv,50.0
10th < 2020,East,heatpump < ground < individual,none,expConv,9.0
10th < 2020,West,heatpump < ground < individual,none,expConv,9.0
20th < 2025,East,heatpump < ground < individual,none,expConv,0.0
20th < 2025,West,heatpump < ground < individual,none,expConv,0.0
20th < 2030,East,heatpump < ground < individual,none,expConv,0.0
20th < 2030,West,heatpump < ground < individual,none,expConv,0.0
30th < 2035,East,heatpump < ground < individual,none,expConv,0.0
30th < 2035,West,heatpump < ground < individual,none,expConv,0.0
30th < 2040,East,heatpump < ground < individual,none,expConv,0.0
30th < 2040,West,heatpump < ground < individual,none,expConv,0.0
10th < 2020,East,heatpump < ground < individual,none,capaConv,9.0
20th < 2025,East,heatpump < ground < individual,none,capaConv,9.000000000000004
20th < 2030,East,heatpump < ground < individual,none,capaConv,9.0
30th < 2035,East,heatpump < ground < individual,none,capaConv,8.999999999999998
30th < 2040,East,heatpump < ground < individual,none,capaConv,9.0
10th < 2020,West,heatpump < ground < individual,none,capaConv,9.0
20th < 2025,West,heatpump < ground < individual,none,capaConv,9.0
20th < 2030,West,heatpump < ground < individual,none,capaConv,9.0
30th < 2035,West,heatpump < ground < individual,none,capaConv,9.0
30th < 2040,West,heatpump < ground < individual,none,capaConv,9.0
10th < 2020,East,heatpump < ground < individual,none,commCapaConv,9.0
20th < 2025,East,heatpump < ground < individual,none,commCapaConv,9.000000000000004
20th < 2030,East,heatpump < ground < individual,none,commCapaConv,9.0
30th < 2035,East,heatpump < ground < individual,none,commCapaConv,8.999999999999998
30th < 2040,East,heatpump < ground < individual,none,commCapaConv,9.0
10th < 2020,West,heatpump < ground < individual,none,commCapaConv,9.0
20th < 2025,West,heatpump < ground < individual,none,commCapaConv,9.0
20th < 2030,West,heatpump < ground < individual,none,commCapaConv,9.0
30th < 2035,West,heatpump < ground < individual,none,commCapaConv,9.0
30th < 2040,West,heatpump < ground < individual,none,commCapaConv,9.0
20th < 2025,East,gasPlant < ocgt < hydrogenFueled,none,expConv,0.0
20th < 2030,East,gasPlant < ocgt < hydrogenFueled,none,expConv,0.0
30th < 2035,East,gasPlant < ocgt < hydrogenFueled,none,expConv,8.012568347995746
30th < 2040,East,gasPlant < ocgt < hydrogenFueled,none,expConv,93.0352123064439
20th < 2025,West,gasPlant < ocgt < hydrogenFueled,none,expConv,0.0
20th < 2030,West,gasPlant < ocgt < hydrogenFueled,none,expConv,0.0
30th < 2035,West,gasPlant < ocgt < hydrogenFueled,none,expConv,9.542513769424959
30th < 2040,West,gasPlant < ocgt < hydrogenFueled,none,expConv,52.895502983575184
20th < 2025,East,gasPlant < ocgt < hydrogenFueled,none,capaConv,0.0
20th < 2030,East,gasPlant < ocgt < hydrogenFueled,none,capaConv,0.0
30th < 2035,East,gasPlant < ocgt < hydrogenFueled,none,capaConv,8.012568347995746
30th < 2040,East,gasPlant < ocgt < hydrogenFueled,none,capaConv,101.04778065443963
20th < 2025,West,gasPlant < ocgt < hydrogenFueled,none,capaConv,0.0
20th < 2030,West,gasPlant < ocgt < hydrogenFueled,none,capaConv,0.0
30th < 2035,West,gasPlant < ocgt < hydrogenFueled,none,capaConv,9.542513769424959
30th < 2040,West,gasPlant < ocgt < hydrogenFueled,none,capaConv,62.43801675300014
20th < 2025,East,gasPlant < ocgt < hydrogenFueled,none,commCapaConv,0.0
20th < 2030,East,gasPlant < ocgt < hydrogenFueled,none,commCapaConv,0.0
30th < 2035,East,gasPlant < ocgt < hydrogenFueled,none,commCapaConv,8.012568347995746
30th < 2040,East,gasPlant < ocgt < hydrogenFueled,none,commCapaConv,101.04778065443962
20th < 2025,West,gasPlant < ocgt < hydrogenFueled,none,commCapaConv,0.0
20th < 2030,West,gasPlant < ocgt < hydrogenFueled,none,commCapaConv,0.0
30th < 2035,West,gasPlant < ocgt < hydrogenFueled,none,commCapaConv,9.542513769424959
30th < 2040,West,gasPlant < ocgt < hydrogenFueled,none,commCapaConv,62.43801675300015
10th < 2020,West,hydro,electricity,capaStOut,8.0
20th < 2025,West,hydro,electricity,capaStOut,8.0
20th < 2030,West,hydro,electricity,capaStOut,8.0
30th < 2035,West,hydro,electricity,capaStOut,8.0
30th < 2040,West,hydro,electricity,capaStOut,8.0
10th < 2020,West,hydro,electricity,capaStSize,56.0
20th < 2025,West,hydro,electricity,capaStSize,56.0
20th < 2030,West,hydro,electricity,capaStSize,56.0
30th < 2035,West,hydro,electricity,capaStSize,56.0
30th < 2040,West,hydro,electricity,capaStSize,56.0
10th < 2020,West,hydro,electricity,commCapaStOut,8.0
20th < 2025,West,hydro,electricity,commCapaStOut,8.0
20th < 2030,West,hydro,electricity,commCapaStOut,8.0
30th < 2035,West,hydro,electricity,commCapaStOut,8.0
30th < 2040,West,hydro,electricity,commCapaStOut,8.0
10th < 2020,West,hydro,electricity,commCapaStSize,56.00000000000001
20th < 2025,West,hydro,electricity,commCapaStSize,56.00000000000001
20th < 2030,West,hydro,electricity,commCapaStSize,56.00000000000001
30th < 2035,West,hydro,electricity,commCapaStSize,56.00000000000001
30th < 2040,West,hydro,electricity,commCapaStSize,56.00000000000001
10th < 2020,West,hydro,electricity,capaStIn,8.0
20th < 2025,West,hydro,electricity,capaStIn,8.0
20th < 2030,West,hydro,electricity,capaStIn,8.0
30th < 2035,West,hydro,electricity,capaStIn,8.0
30th < 2040,West,hydro,electricity,capaStIn,8.0
10th < 2020,West,hydro,electricity,commCapaStIn,8.0
20th < 2025,West,hydro,electricity,commCapaStIn,8.0
20th < 2030,West,hydro,electricity,commCapaStIn,8.0
30th < 2035,West,hydro,electricity,commCapaStIn,8.0
30th < 2040,West,hydro,electricity,commCapaStIn,8.0
10th < 2020,East < EastNorth,solar < rooftop < solarThermal,none,expConv,0.0
10th < 2020,East < EastSouth,solar < rooftop < solarThermal,none,expConv,0.0
10th < 2020,West < WestNorth,solar < rooftop < solarThermal,none,expConv,0.0
10th < 2020,West < WestSouth,solar < rooftop < solarThermal,none,expConv,0.0
20th < 2025,East < EastNorth,solar < rooftop < solarThermal,none,expConv,0.0
20th < 2025,East < EastSouth,solar < rooftop < solarThermal,none,expConv,0.0
20th < 2025,West < WestNorth,solar < rooftop < solarThermal,none,expConv,0.0
20th < 2025,West < WestSouth,solar < rooftop < solarThermal,none,expConv,0.0
20th < 2030,East < EastNorth,solar < rooftop < solarThermal,none,expConv,0.0
20th < 2030,East < EastSouth,solar < rooftop < solarThermal,none,expConv,0.0
20th < 2030,West < WestNorth,solar < rooftop < solarThermal,none,expConv,0.0
20th < 2030,West < WestSouth,solar < rooftop < solarThermal,none,expConv,0.0
30th < 2035,East < EastNorth,solar < rooftop < solarThermal,none,expConv,0.0
30th < 2035,East < EastSouth,solar < rooftop < solarThermal,none,expConv,0.0
30th < 2035,West < WestNorth,solar < rooftop < solarThermal,none,expConv,0.0
30th < 2035,West < WestSouth,solar < rooftop < solarThermal,none,expConv,0.0
30th < 2040,East < EastNorth,solar < rooftop < solarThermal,none,expConv,49.26329813269972
30th < 2040,East < EastSouth,solar < rooftop < solarThermal,none,expConv,123.1261733995855
30th < 2040,West < WestNorth,solar < rooftop < solarThermal,none,expConv,13.675723261686636
30th < 2040,West < WestSouth,solar < rooftop < solarThermal,none,expConv,34.2344851606953
10th < 2020,East < EastNorth,solar < rooftop < solarThermal,none,capaConv,0.0
20th < 2025,East < EastNorth,solar < rooftop < solarThermal,none,capaConv,0.0
20th < 2030,East < EastNorth,solar < rooftop < solarThermal,none,capaConv,0.0
30th < 2035,East < EastNorth,solar < rooftop < solarThermal,none,capaConv,0.0
30th < 2040,East < EastNorth,solar < rooftop < solarThermal,none,capaConv,49.26329813269972
10th < 2020,East < EastSouth,solar < rooftop < solarThermal,none,capaConv,0.0
20th < 2025,East < EastSouth,solar < rooftop < solarThermal,none,capaConv,0.0
20th < 2030,East < EastSouth,solar < rooftop < solarThermal,none,capaConv,0.0
30th < 2035,East < EastSouth,solar < rooftop < solarThermal,none,capaConv,0.0
30th < 2040,East < EastSouth,solar < rooftop < solarThermal,none,capaConv,123.1261733995855
10th < 2020,West < WestNorth,solar < rooftop < solarThermal,none,capaConv,0.0
20th < 2025,West < WestNorth,solar < rooftop < solarThermal,none,capaConv,0.0
20th < 2030,West < WestNorth,solar < rooftop < solarThermal,none,capaConv,0.0
30th < 2035,West < WestNorth,solar < rooftop < solarThermal,none,capaConv,0.0
30th < 2040,West < WestNorth,solar < rooftop < solarThermal,none,capaConv,13.675723261686636
10th < 2020,West < WestSouth,solar < rooftop < solarThermal,none,capaConv,0.0
20th < 2025,West < WestSouth,solar < rooftop < solarThermal,none,capaConv,0.0
20th < 2030,West < WestSouth,solar < rooftop < solarThermal,none,capaConv,0.0
30th < 2035,West < WestSouth,solar < rooftop < solarThermal,none,capaConv,0.0
30th < 2040,West < WestSouth,solar < rooftop < solarThermal,none,capaConv,34.2344851606953
10th < 2020,East < EastNorth,solar < rooftop < solarThermal,none,commCapaConv,0.0
20th < 2025,East < EastNorth,solar < rooftop < solarThermal,none,commCapaConv,0.0
20th < 2030,East < EastNorth,solar < rooftop < solarThermal,none,commCapaConv,0.0
30th < 2035,East < EastNorth,solar < rooftop < solarThermal,none,commCapaConv,0.0
30th < 2040,East < EastNorth,solar < rooftop < solarThermal,none,commCapaConv,49.26329813269971
10th < 2020,East < EastSouth,solar < rooftop < solarThermal,none,commCapaConv,0.0
20th < 2025,East < EastSouth,solar < rooftop < solarThermal,none,commCapaConv,0.0
20th < 2030,East < EastSouth,solar < rooftop < solarThermal,none,commCapaConv,0.0
30th < 2035,East < EastSouth,solar < rooftop < solarThermal,none,commCapaConv,0.0
30th < 2040,East < EastSouth,solar < rooftop < solarThermal,none,commCapaConv,123.1261733995855
10th < 2020,West < WestNorth,solar < rooftop < solarThermal,none,commCapaConv,0.0
20th < 2025,West < WestNorth,solar < rooftop < solarThermal,none,commCapaConv,0.0
20th < 2030,West < WestNorth,solar < rooftop < solarThermal,none,commCapaConv,0.0
30th < 2035,West < WestNorth,solar < rooftop < solarThermal,none,commCapaConv,0.0
30th < 2040,West < WestNorth,solar < rooftop < solarThermal,none,commCapaConv,13.675723261686636
10th < 2020,West < WestSouth,solar < rooftop < solarThermal,none,commCapaConv,0.0
20th < 2025,West < WestSouth,solar < rooftop < solarThermal,none,commCapaConv,0.0
20th < 2030,West < WestSouth,solar < rooftop < solarThermal,none,commCapaConv,0.0
30th < 2035,West < WestSouth,solar < rooftop < solarThermal,none,commCapaConv,0.0
30th < 2040,West < WestSouth,solar < rooftop < solarThermal,none,commCapaConv,34.2344851606953
10th < 2020,East < EastNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
20th < 2025,East < EastNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
20th < 2030,East < EastNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
30th < 2035,East < EastNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
30th < 2040,East < EastNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
10th < 2020,East < EastSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
20th < 2025,East < EastSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
20th < 2030,East < EastSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
30th < 2035,East < EastSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
30th < 2040,East < EastSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
10th < 2020,West < WestNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
20th < 2025,West < WestNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
20th < 2030,West < WestNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
30th < 2035,West < WestNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
30th < 2040,West < WestNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
10th < 2020,West < WestSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
20th < 2025,West < WestSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
20th < 2030,West < WestSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
30th < 2035,West < WestSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
30th < 2040,West < WestSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
10th < 2020,East < EastNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
20th < 2025,East < EastNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
20th < 2030,East < EastNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
30th < 2035,East < EastNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
30th < 2040,East < EastNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
10th < 2020,East < EastSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
20th < 2025,East < EastSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
20th < 2030,East < EastSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
30th < 2035,East < EastSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
30th < 2040,East < EastSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
10th < 2020,West < WestNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
20th < 2025,West < WestNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
20th < 2030,West < WestNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
30th < 2035,West < WestNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
30th < 2040,West < WestNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
10th < 2020,West < WestSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
20th < 2025,West < WestSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
20th < 2030,West < WestSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
30th < 2035,West < WestSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
30th < 2040,West < WestSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
10th < 2020,East < EastNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
10th < 2020,East < EastSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
10th < 2020,West < WestNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
10th < 2020,West < WestSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
20th < 2025,East < EastNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
20th < 2025,East < EastSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
20th < 2025,West < WestNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
20th < 2025,West < WestSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
20th < 2030,East < EastNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
20th < 2030,East < EastSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
20th < 2030,West < WestNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
20th < 2030,West < WestSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
30th < 2035,East < EastNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
30th < 2035,East < EastSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
30th < 2035,West < WestNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
30th < 2035,West < WestSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
30th < 2040,East < EastNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
30th < 2040,East < EastSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
30th < 2040,West < WestNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
30th < 2040,West < WestSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
10th < 2020,East < EastNorth,solar < rooftop < solarThermal,heat,expStSize,0.0
20th < 2025,East < EastNorth,solar < rooftop < solarThermal,heat,expStSize,0.0
20th < 2030,East < EastNorth,solar < rooftop < solarThermal,heat,expStSize,0.0
30th < 2035,East < EastNorth,solar < rooftop < solarThermal,heat,expStSize,0.0
30th < 2040,East < EastNorth,solar < rooftop < solarThermal,heat,expStSize,0.0
10th < 2020,East < EastSouth,solar < rooftop < solarThermal,heat,expStSize,0.0
20th < 2025,East < EastSouth,solar < rooftop < solarThermal,heat,expStSize,0.0
20th < 2030,East < EastSouth,solar < rooftop < solarThermal,heat,expStSize,0.0
30th < 2035,East < EastSouth,solar < rooftop < solarThermal,heat,expStSize,0.0
30th < 2040,East < EastSouth,solar < rooftop < solarThermal,heat,expStSize,0.0
10th < 2020,West < WestNorth,solar < rooftop < solarThermal,heat,expStSize,0.0
20th < 2025,West < WestNorth,solar < rooftop < solarThermal,heat,expStSize,0.0
20th < 2030,West < WestNorth,solar < rooftop < solarThermal,heat,expStSize,0.0
